,codexArticle_name,Column,short_name
0,Порушення вимог фінансового контролю,11355,Порушення вимог фінансового ко...
1,"Пропозиція, обіцянка або надання неправомірної вигоди службовій особі",1721,"Пропозиція, обіцянка або надан..."
2,Службове підроблення (порушення не є корупційним),1237,Службове підроблення (порушенн...
3,"Прийняття пропозиції, обіцянки або одержання неправомірної вигоди службовою особою",1098,"Прийняття пропозиції, обіцянки..."
4,Порушення обмежень щодо використання службового становища (виключено з кодексу),1003,Порушення обмежень щодо викори...
5,Порушення вимог щодо запобігання та врегулювання конфлікту інтересів,849,Порушення вимог щодо запобіган...
6,Зловживання владою або службовим становищем,605,Зловживання владою або службов...
7,"Привласнення, розтрата майна або заволодіння ним шляхом зловживання службовим становищем",490,"Привласнення, розтрата майна а..."
8,Зловживання впливом,333,Зловживання впливом...
9,Порушення обмежень щодо сумісництва та суміщення з іншими видами діяльності,329,Порушення обмежень щодо сумісн...
