difference_num,Column
0,1957
1,19
10,3362
100,8
101,5
102,8
103,10
104,13
105,16
106,16
107,4
108,2
109,7
1096,1
11,8851
110,11
1106,1
1107,2
1109,1
111,4
1110,1
1111,1
1118,1
112,12
1121,14
1126,2
1128,2
1129,1
113,14
114,4
115,4
116,4
1161,1
1169,1
117,3
1178,2
118,7
1181,1
1183,1
119,10
12,4188
120,13
121,3
122,9
123,11
124,4
125,9
126,8
127,12
128,5
129,2
13,4248
130,5
131,9
132,7
133,5
134,9
135,4
136,5
137,1
138,5
139,9
14,817
140,12
141,13
142,2
143,1
1436,1
144,3
145,5
146,4
147,5
1478,1
148,9
149,3
15,1367
150,1
1506,1
151,4
152,2
153,2
154,2
1549,1
155,4
156,4
157,4
158,1
16,1348
160,2
161,2
162,4
163,4
164,7
166,4
167,8
168,2
169,2
17,349
170,1
171,1
172,3
173,4
174,3
176,5
177,3
178,1
18,288
180,2
181,3
182,2
183,1
184,3
1842,1
185,12
1850,1
187,2
188,2
189,3
1894,1
19,79
190,4
192,1
195,1
196,6
197,1
198,1
199,3
2,6
20,66
201,2
202,2
203,5
204,3
205,5
207,1
208,1
209,1
21,62
210,1
211,2
212,1
213,2
214,3
215,1
216,1
218,2
219,1
22,39
220,4
221,1
222,2
224,2
225,3
227,1
228,1
23,27
230,1
231,2
232,1
234,3
235,4
237,1
238,3
239,1
24,24
240,1
2417,1
242,1
243,2
244,2
245,2
246,1
247,3
248,2
25,39
250,1
251,1
252,1
256,1
26,51
260,3
261,2
264,1
265,3
266,1
267,1
269,1
27,49
271,1
272,2
273,1
274,1
275,2
276,2
277,4
278,2
279,1
28,60
280,2
281,1
282,3
283,2
284,1
286,1
287,3
288,3
289,2
29,70
292,2
295,2
299,2
3,9
30,705
301,1
304,2
306,1
308,1
31,2525
310,1
311,1
312,1
313,1
314,1
315,1
317,1
319,1
32,1052
322,4
323,2
324,1
33,1267
332,1
333,2
335,2
336,1
337,1
34,303
340,1
343,2
344,1
347,2
35,123
350,3
351,3
353,1
354,1
356,1
357,1
358,1
359,2
36,51
361,1
363,1
364,1
365,3
366,3
367,1
37,26
372,2
375,10
376,3
377,9
378,5
379,4
38,24
380,2
381,1
382,1
383,2
384,1
385,2
387,4
389,2
39,21
391,3
392,2
393,4
394,3
395,3
396,10
397,3
398,6
399,8
4,15
40,20
400,3
405,4
41,32
413,1
414,2
415,3
42,50
421,1
43,31
432,1
433,1
435,2
44,23
440,1
441,1
442,1
443,1
445,1
446,1
448,2
449,1
45,22
450,1
456,1
46,22
463,1
469,3
47,14
471,1
473,3
475,1
476,2
477,1
48,32
481,1
482,1
483,1
484,2
49,15
492,1
497,2
5,16
50,21
500,1
504,1
509,1
51,13
511,1
518,1
52,7
524,2
53,10
533,1
537,1
54,11
55,22
554,1
559,3
56,24
57,11
574,1
58,16
581,1
584,1
59,12
590,1
6,11
60,16
604,1
605,1
609,1
61,18
612,1
62,18
629,1
63,25
631,1
64,18
65,19
66,13
667,1
668,1
67,16
674,1
676,1
68,15
680,1
69,37
692,1
7,38
70,25
700,2
707,1
71,21
72,15
73,8
731,1
732,4
74,11
740,2
741,1
743,2
745,1
747,1
75,21
751,1
752,1
76,16
760,2
761,1
762,2
763,2
764,1
767,1
77,39
78,30
79,17
792,1
799,1
8,83
80,17
803,1
809,2
81,15
818,1
82,25
83,12
831,1
84,14
85,10
86,13
869,1
87,6
88,3
882,2
89,12
9,149
90,25
91,23
912,1
92,10
93,21
94,10
95,8
952,1
96,9
97,8
98,12
986,3
99,19
