,name,ide,short_name,long_name
0,Дніпропетровська,2625,Дніпропетровська...,Дніпропетровська область
1,Львівська,2430,Львівська...,Львівська область
2,Донецька,1676,Донецька...,Донецька область
3,Харківська,1669,Харківська...,Харківська область
4,Одеська,1514,Одеська...,Одеська область
5,Київська,1476,Київська...,Київська область
6,Чернівецька,1390,Чернівецька...,Чернівецька область
7,Запорізька,1348,Запорізька...,Запорізька область
8,Волинська,1316,Волинська...,Волинська область
9,Івано-франківська,1266,Івано-франківська...,Івано-франківська область
10,Хмельницька,1253,Хмельницька...,Хмельницька область
11,Вінницька,1205,Вінницька...,Вінницька область
12,Херсонська,1173,Херсонська...,Херсонська область
13,Рівненська,1170,Рівненська...,Рівненська область
14,Чернігівська,1122,Чернігівська...,Чернігівська область
15,Тернопільська,1122,Тернопільська...,Тернопільська область
16,Кіровоградська,1092,Кіровоградська...,Кіровоградська область
17,Черкаська,1070,Черкаська...,Черкаська область
18,Луганська,1054,Луганська...,Луганська область
19,Полтавська,1051,Полтавська...,Полтавська область
20,Сумська,1037,Сумська...,Сумська область
21,Закарпатська,1018,Закарпатська...,Закарпатська область
22,Миколаївська,963,Миколаївська...,Миколаївська область
23,Житомирська,845,Житомирська...,Житомирська область
24,Київ,813,Київ...,Місто Київ
25,Крим,368,Крим...,Крим
